,אזור המכירה:,בעלות נוכחית,בעלות קודמת,זיהום מירבי,טסט עד,יד,מוכן להחלפה,מותאם לנכים,סוג,סוג מנוע,סמ״ק,צבע,קילומטראז',שנה,תאריך עליה לכביש,תיבת הילוכים,שם הסוכנות:,מחיר
478,קדימה צורן,פרטית,,14,06/2022,1,לא,לא,טויוטה ורסו,בנזין,1798,לבן מטאלי,"48,000",2018,06/2018,אוטומט,a.h,
479,חולון,פרטית,,13,10/2022,1,כן,לא,אאודי A7,בנזין,2995,אפור מטאלי,"49,000",2019,07/2019,אוטומט,טרייד אין חולון,
480,פתח תקווה,ייבוא מקביל,,15,,0,כן,לא,מרצדס S-Class,בנזין,2999,שחור מטאלי,,2021,,אוטומט,אוטו אאוטלט,
481,ראשון לציון,פרטית,פרטית,8,06/2022,3,לא,לא,פיאט 500,בנזין,1242,לבן,"68,000",2017,06/2017,אוטומט,גלי 2004 בעמ,
482,נתניה,פרטית,,12,03/2022,1,כן,לא,מרצדס E-Class,היברידי חשמל / בנזין,1991,לבן פנינה,"39,000",2020,03/2020,אוטומט,דולב,
483,רחובות,פרטית,ליסינג,2,,2,כן,לא,טויוטה יאריס הייבריד,בנזין,1497,שחור מטאלי,"103,000",2015,06/2015,אוטומט,טרייד אין 770,
484,באר שבע,פרטית,פרטית,9,05/2022,3,כן,לא,יונדאי i10,בנזין,1086,אפור עכבר,"91,000",2013,05/2013,ידנית,י.ש טרייד אין רפאל,
485,חולון,פרטית,,8,,0,לא,לא,ב.מ.וו סדרה 4,בנזין,1998,לבן פנינה,,2021,12/2021,אוטומט,טרייד אין חולון,
486,ראשון לציון,פרטית,ליסינג,14,02/2022,2,לא,לא,פורד פוקוס,בנזין,1596,לבן מטאלי,"164,000",2014,02/2014,אוטומט,גלי 2004 בעמ,
487,פתח תקווה,פרטית,ליסינג,14,03/2022,2,לא,לא,פורד פוקוס,בנזין,1596,כחול כהה,"152,000",2013,03/2013,אוטומט,,
488,נס ציונה,פרטית,,7,12/2022,1,לא,לא,סקודה אוקטביה,בנזין,1798,שחור מטאלי,"96,000",2018,01/2018,אוטומט,,
489,נתניה,פרטית,פרטית,13,08/2022,2,לא,לא,ניסאן ג'וק / Juke,בנזין,1598,אפור מטאלי,"113,000",2013,08/2013,אוטומט,,
490,קרית ביאליק,פרטית,,2,01/2022,1,לא,לא,מרצדס S-Class,היברידי חשמל / בנזין,2996,לבן מטאלי,"50,000",2019,01/2019,אוטומט,,
491,אניעם,פרטית,,3,10/2022,1,לא,לא,יונדאי סונטה הייבריד,בנזין,1999,לבן,"136,000",2016,10/2016,אוטומט,,
492,עין הבשור,פרטית,,2,04/2022,1,לא,לא,אאודי A3,בנזין,1498,לבן,"115,000",2018,04/2018,אוטומט,,
493,באר שבע,פרטית,ליסינג,7,12/2022,2,לא,לא,פולקסווגן ג'טה,בנזין,1197,אפור מטאלי,"118,000",2017,01/2017,אוטומט,,
494,בית שאן,פרטית,פרטית,14,,2,לא,לא,מרצדס C-Class קופה,בנזין,2996,לבן מטאלי,"63,000",2017,12/2017,אוטומט,,
495,עיילבון,פרטית,,14,10/2022,1,לא,לא,ב.מ.וו סדרה 5,בנזין,1997,לבן פנינה,"138,500",2016,10/2016,אוטומט,,
496,קרית מלאכי,פרטית,פרטית,15,04/2022,3,לא,לא,מרצדס S-Class,דיזל,2987,שחור,"180,000",2013,04/2013,אוטומט,,
497,ראש העין,פרטית,פרטית,13,06/2022,3,לא,לא,פיאט פנדה,בנזין,1242,בורדו,"160,000",2013,06/2013,ידנית,,
498,גבעת שמואל,פרטית,,NaN,12/2021,1,לא,לא,פיג'ו 307,בנזין,1587,כסוף מטאלי,"125,000",2004,,אוטומט,,
499,אילת,פרטית,פרטית,NaN,07/2022,3,לא,לא,רנו סניק דור 1 (1998-2004),בנזין,1598,ירוק בקבוק,"126,000",1999,01/1999,ידנית,,
500,כפר יונה,ליסינג,,15,10/2022,1,כן,לא,אופל אסטרה,בנזין,1399,לבן מטאלי,"128,000",2017,10/2017,אוטומט,מוטודיל,
501,כפר יונה,פרטית,פרטית,14,,3,לא,לא,הונדה סיוויק סדאן החדשה,בנזין,1799,לבן,"240,000",2008,05/2008,אוטומט,,
502,בת ים,פרטית,,9,05/2022,1,כן,לא,מרצדס C-Class Taxi,דיזל,1950,שחור מטאלי,"192,000",2019,05/2019,אוטומט,,
503,טבריה,פרטית,,6,06/2022,1,לא,לא,רנו מגאן גראנד קופה,דיזל,1461,לבן מטאלי,"42,000",2020,05/2020,אוטומט,,
504,ראשון לציון,פרטית,מונית,14,02/2022,2,כן,לא,סקודה אוקטביה,דיזל,1968,לבן,"399,000",2015,02/2015,אוטומט,,
505,באר טוביה,פרטית,,7,05/2022,1,לא,לא,פולקסווגן ג'טה,בנזין,1197,אפור מטאלי,"158,000",2013,05/2013,אוטומט,,
506,חולון,פרטית,פרטית,15,,2,כן,לא,פורשה פאנאמרה,בנזין,2997,אפור,"1,000",2016,,אוטומט,top cars,
507,באקה אל ע'רביה,פרטית,פרטית,11,09/2022,3,כן,לא,פולקסווגן פולו,בנזין,1197,אדום,"103,000",2014,09/2014,אוטומט,רכב עירון טרייד אין בעמ,
508,קרית אתא,פרטית,פרטית,12,07/2022,3,לא,לא,מאזדה 3,בנזין,1998,שחור מטאלי,"98,000",2015,07/2015,אוטומט,AS,
509,ראשון לציון,ליסינג,,3,10/2022,1,כן,לא,טויוטה אוריס הייבריד,בנזין,1798,לבן,"96,000",2018,10/2018,אוטומט,בטר קאר,
510,נצרת,פרטית,פרטית,12,07/2022,2,לא,לא,מאזדה 3,בנזין,1998,לבן,"58,000",2018,07/2018,אוטומט,"בא לי אוטו בע""מ",
511,קדימה צורן,פרטית,,14,06/2022,1,לא,לא,טויוטה ורסו,בנזין,1798,לבן מטאלי,"48,000",2018,06/2018,אוטומט,a.h,
512,חולון,פרטית,,13,10/2022,1,כן,לא,אאודי A7,בנזין,2995,אפור מטאלי,"49,000",2019,07/2019,אוטומט,טרייד אין חולון,
513,פתח תקווה,ייבוא מקביל,,15,,0,כן,לא,מרצדס S-Class,בנזין,2999,שחור מטאלי,,2021,,אוטומט,אוטו אאוטלט,
514,ראשון לציון,פרטית,פרטית,8,06/2022,3,לא,לא,פיאט 500,בנזין,1242,לבן,"68,000",2017,06/2017,אוטומט,גלי 2004 בעמ,
515,נתניה,פרטית,,12,03/2022,1,כן,לא,מרצדס E-Class,היברידי חשמל / בנזין,1991,לבן פנינה,"39,000",2020,03/2020,אוטומט,דולב,
516,רחובות,פרטית,ליסינג,2,,2,כן,לא,טויוטה יאריס הייבריד,בנזין,1497,שחור מטאלי,"103,000",2015,06/2015,אוטומט,טרייד אין 770,
517,באר שבע,פרטית,פרטית,9,05/2022,3,כן,לא,יונדאי i10,בנזין,1086,אפור עכבר,"91,000",2013,05/2013,ידנית,י.ש טרייד אין רפאל,
518,חולון,פרטית,,8,,0,לא,לא,ב.מ.וו סדרה 4,בנזין,1998,לבן פנינה,,2021,12/2021,אוטומט,טרייד אין חולון,
519,ראשון לציון,פרטית,ליסינג,14,02/2022,2,לא,לא,פורד פוקוס,בנזין,1596,לבן מטאלי,"164,000",2014,02/2014,אוטומט,גלי 2004 בעמ,
520,אשקלון,ליסינג,,5,,1,לא,לא,מאזדה 2,בנזין,1496,שחור מטאלי,"19,000",2020,,אוטומט,"גאי מוטורס סחר והשקעות בע""מ",
521,פתח תקווה,פרטית,,15,02/2022,1,לא,לא,קאדילק XT5,בנזין,3649,לבן פנינה,"54,000",2018,02/2018,אוטומט,"חברת המזרח לשיווק מכוניות (1994) בע""מ",
522,תל אביב יפו,חברה,,1,07/2022,1,לא,לא,ב.מ.וו iX3,חשמלי,,אפור מטאלי,"2,544",2021,07/2021,אוטומט,דלק מוטורס בעמ,
523,ראשון לציון,פרטית,,15,08/2022,1,לא,לא,ניסאן אקס טרייל,דיזל,1749,שחור מטאלי,"17,000",2020,08/2020,אוטומט,אדיר ליסינג,
524,ערד,פרטית,פרטית,14,01/2023,3,לא,לא,וולוו S60,בנזין,1969,שחור מטאלי,"86,000",2017,01/2017,אוטומט,,
525,הרצליה,פרטית,,6,01/2023,1,לא,לא,יונדאי i20,בנזין,998,לבן,"12,000",2021,01/2021,אוטומט,,
526,בית שמש,פרטית,חברה,14,,3,כן,לא,פולקסווגן גולף,בנזין,1595,לבן מטאלי,"78,000",2010,05/2010,אוטומט,,
527,רמת גן,פרטית,פרטית,NaN,09/2022,3,לא,לא,יגואר XJ8,בנזין,3555,כסף מטלי,"150,000",2005,06/2005,אוטומט,,
528,מבשרת ציון,פרטית,,NaN,10/2022,1,לא,לא,סיטרואן C5,בנזין,1997,כסוף,"135,000",2006,,אוטומט,,
529,תל אביב יפו,פרטית,,3,12/2022,1,לא,לא,קיה פיקנטו,בנזין,998,אפור,"86,000",2013,01/2013,ידנית,,
530,הושעיה,פרטית,,11,10/2022,1,לא,לא,פיג'ו 3008,בנזין,1598,לבן,"140,000",2018,04/2018,אוטומט,,
531,נתניה,פרטית,ליסינג,4,11/2022,2,לא,לא,טויוטה פריוס פלוס הייבריד,בנזין,1798,כסוף,"265,000",2015,11/2015,אוטומט,,
532,דימונה,פרטית,,12,11/2022,1,לא,לא,סקודה סופרב (עד 2019),בנזין,1798,כסף מטלי,"26,000",2017,11/2017,אוטומט,,
533,תל אביב יפו,פרטית,,15,05/2022,1,לא,לא,ב.מ.וו M2,בנזין,2979,לבן,"78,000",2018,05/2018,אוטומט,,
534,חדרה,פרטית,פרטית,15,,2,לא,לא,שברולט אימפלה,בנזין,3564,שחור,"120,000",2018,,אוטומט,,
535,מעוז חיים,פרטית,פרטית,15,07/2022,3,לא,כן,מאזדה 3,בנזין,1598,כסוף,"300,000",2005,,אוטומט,,
536,הרצליה,פרטית,פרטית,1,01/2024,2,לא,לא,מרצדס CLA,בנזין,1991,לבן פנינה,"19,500",2021,01/2021,אוטומט,,
537,כפר יונה,ליסינג,,15,10/2022,1,כן,לא,אופל אסטרה,בנזין,1399,לבן מטאלי,"128,000",2017,10/2017,אוטומט,מוטודיל,
538,נתניה,פרטית,,11,05/2022,1,לא,לא,מיני JCW,בנזין,1998,קרם,"12,000",2020,05/2020,אוטומט,,
539,הוד השרון,פרטית,פרטית,13,05/2022,2,לא,לא,אאודי A4,בנזין,1395,לבן,"97,325",2016,05/2016,אוטומט,,
540,חולון,פרטית,פרטית,13,,3,לא,לא,ניסאן ג'וק / Juke,בנזין,1598,לבן פנינה,"31,000",2018,11/2018,אוטומט,,
541,תל אביב יפו,פרטית,,3,07/2022,1,לא,לא,טויוטה קורולה הייבריד,בנזין,1798,זהב,"14,000",2020,06/2020,אוטומט,,
542,כפר סבא,פרטית,,13,05/2022,1,לא,לא,סוזוקי ספלאש,בנזין,1242,לבן,"195,493",2010,05/2010,אוטומט,,
543,ראשון לציון,ליסינג,,2,06/2022,1,לא,לא,טויוטה קורולה הייבריד,בנזין,1798,לבן,"79,000",2019,06/2019,אוטומט,גלי 2004 בעמ,
544,תל אביב יפו,השכרה,,4,01/2023,1,לא,לא,פיג'ו 108,בנזין,998,לבן,"90,000",2017,01/2017,אוטומט,סאן-קאר,
545,ראשון לציון,ליסינג,,11,08/2022,1,כן,לא,דאצ'יה לודג'י,בנזין,1197,לבן,"125,000",2017,08/2017,ידנית,גאלופ מוטורס,
546,חיפה,פרטית,פרטית,14,06/2022,3,לא,לא,טויוטה אוונסיס,בנזין,1987,אפור מטאלי,"222,221",2009,06/2009,אוטומט,"מ.ת.מ. מוטורס בע""מ",
547,ראשון לציון,השכרה,,1,02/2022,1,לא,לא,אם. ג'י. / MG ZS,בנזין,999,שחור מטאלי,"38,000",2020,02/2020,אוטומט,גלי 2004 בעמ,
548,נתניה,פרטית,,3,03/2022,1,לא,לא,טויוטה C-HR,בנזין,1798,כסוף מטאלי,"57,302",2018,03/2018,אוטומט,מוסכי רכב נתניה א.מ בעמ,
549,נתניה,פרטית,פרטית,11,01/2023,2,לא,לא,סיאט איביזה,בנזין,1197,לבן מטאלי,"87,000",2014,01/2014,אוטומט,.,
550,אור יהודה,פרטית,פרטית,15,02/2022,3,לא,לא,סקודה סופרב (עד 2019),בנזין,1798,לבן,"1,420,000",2015,02/2015,אוטומט,רכב אשר,
551,תל אביב יפו,פרטית,,5,10/2022,1,לא,לא,רנו קפצ'ור,בנזין,1197,בז',"56,000",2017,10/2017,אוטומט,יקיר מוטורס,
552,אודים,פרטית,פרטית,14,01/2023,2,לא,לא,אופל אסטרה,בנזין,1364,כסוף,"87,000",2012,01/2012,אוטומט,",",
553,חולון,פרטית,פרטית,6,03/2022,2,כן,לא,סקודה ראפיד,בנזין,1197,אפור מטאלי,"140,000",2017,03/2017,אוטומט,מרכז הרכב - חולון,
554,עפולה,פרטית,ליסינג,11,09/2022,5,כן,לא,סקודה אוקטביה,בנזין,1798,כסוף מטאלי,"160,000",2017,09/2017,אוטומט,אביחי ביתן רכב הצפון,
555,כפר סבא,ליסינג,,4,03/2022,1,לא,לא,לקסוס GS300H,בנזין,2494,אפור מטאלי,"76,000",2018,03/2018,אוטומט,גלי 2004 בעמ,
556,ראשון לציון,פרטית,,9,06/2022,1,כן,לא,אאודי A4,בנזין,1984,לבן,"64,000",2019,06/2019,אוטומט,WinCar,
557,נתניה,פרטית,פרטית,15,05/2022,3,כן,לא,ב.מ.וו X6,דיזל,2993,אפור מטאלי,"168,000",2014,05/2014,אוטומט,דולב,
558,חולון,פרטית,,15,01/2022,0,כן,לא,דודג' צ'לנג'ר,בנזין,3604,שחור מטאלי,,2021,01/2021,אוטומט,טרייד אין חולון,
559,הרצליה,פרטית,,1,,0,כן,לא,מרצדס EQA,חשמלי,,לבן מטאלי,,2021,,אוטומט,V12 רכבי יוקרה,
560,ראשון לציון,פרטית,פרטית,9,,2,כן,לא,מרצדס CLA,בנזין,1991,לבן,"17,900",2020,,אוטומט,יהלומים על הכביש,
561,בית שמש,פרטית,מונית,14,01/2022,2,לא,לא,מרצדס C-Class Taxi,דיזל,2143,לבן,"240,000",2016,01/2016,אוטומט,,
562,קרית ים,פרטית,,6,06/2022,1,לא,לא,ניסאן ג'וק / Juke,בנזין,999,לבן פנינה,"7,000",2020,06/2020,אוטומט,,
563,סתריה,פרטית,,6,10/2022,1,לא,לא,סקודה פאביה,בנזין,1197,לבן,"88,000",2017,10/2017,אוטומט,,
564,ראשון לציון,פרטית,פרטית,2,05/2022,2,לא,לא,ב.מ.וו i8,היברידי חשמל / בנזין,1499,לבן מטאלי,"40,000",2018,,אוטומט,,
565,אור עקיבא,פרטית,פרטית,7,05/2022,2,לא,לא,פיג'ו 208,בנזין,1199,אפור עכבר,"122,000",2016,05/2016,אוטומט,,
566,באר שבע,פרטית,השכרה,8,06/2022,2,לא,לא,פיג'ו 301,בנזין,1199,לבן,"115,529",2015,06/2015,רובוטית,,
567,עומר,פרטית,,15,02/2022,1,לא,לא,מרצדס CLS,בנזין,3498,אפור עכבר,"100,000",2016,02/2016,אוטומט,,
568,גבעת חיים מאוחד,פרטית,פרטית,13,04/2022,2,לא,לא,ב.מ.וו סדרה 1,בנזין,1598,לבן,"57,000",2015,04/2015,אוטומט,,
569,חיפה,פרטית,פרטית,14,08/2022,3,לא,לא,אאודי A5,בנזין,1984,לבן,"70,000",2017,08/2017,אוטומט,,
570,אשדוד,פרטית,,2,01/2022,1,לא,לא,מרצדס S-Class,היברידי חשמל / בנזין,2996,שחור מטאלי,"9,750",2020,01/2020,אוטומט,,
571,באר שבע,פרטית,פרטית,13,12/2022,2,לא,לא,אאודי A3,בנזין,1395,לבן פנינה,"98,000",2016,01/2016,אוטומט,,
572,רמת השרון,פרטית,,15,01/2022,1,לא,לא,שברולט אימפלה,בנזין,3564,שחור מטאלי,"179,300",2014,01/2014,אוטומט,,
573,הוד השרון,פרטית,פרטית,NaN,10/2022,3,לא,לא,מרצדס C-Class,בנזין,1796,כסוף,"163,300",2005,10/2005,אוטומט,,
574,גנות הדר,פרטית,פרטית,14,06/2022,2,לא,לא,סוזוקי SX4 קרוסאובר,בנזין,1586,לבן פנינה,"94,000",2015,,אוטומט,...,
575,מגדל העמק,פרטית,פרטית,8,08/2022,2,לא,לא,ניסאן מיקרה,בנזין,1198,כחול מטאלי,"102,000",2015,08/2015,אוטומט,,
576,קרית ים,פרטית,,15,12/2022,1,לא,כן,קרייזלר גראנד וויאג'ר,בנזין,3604,שחור מטאלי,"44,000",2012,11/2012,אוטומט,,
577,בית גמליאל,פרטית,,11,08/2022,1,לא,לא,פיג'ו 3008,בנזין,1598,שחור,"75,351",2018,08/2018,אוטומט,,
578,כפר מנדא,לימוד נהיגה,,7,05/2022,1,לא,לא,פיג'ו 3008,דיזל,1499,לבן פנינה,"64,000",2019,05/2019,אוטומט,,
579,כפר מנדא,פרטית,,15,07/2022,1,לא,לא,מרצדס C-Class,בנזין,1991,לבן מטאלי,"120,000",2016,06/2016,אוטומט,,
580,ראשון לציון,ליסינג,,11,08/2022,1,כן,לא,דאצ'יה לודג'י,בנזין,1197,לבן,"125,000",2017,08/2017,ידנית,גאלופ מוטורס,
581,חיפה,פרטית,פרטית,14,06/2022,3,לא,לא,טויוטה אוונסיס,בנזין,1987,אפור מטאלי,"222,221",2009,06/2009,אוטומט,"מ.ת.מ. מוטורס בע""מ",
582,ראשון לציון,השכרה,,1,02/2022,1,לא,לא,אם. ג'י. / MG ZS,בנזין,999,שחור מטאלי,"38,000",2020,02/2020,אוטומט,גלי 2004 בעמ,
583,נתניה,פרטית,,3,03/2022,1,לא,לא,טויוטה C-HR,בנזין,1798,כסוף מטאלי,"57,302",2018,03/2018,אוטומט,מוסכי רכב נתניה א.מ בעמ,
584,נתניה,פרטית,פרטית,11,01/2023,2,לא,לא,סיאט איביזה,בנזין,1197,לבן מטאלי,"87,000",2014,01/2014,אוטומט,.,
585,אור יהודה,פרטית,פרטית,15,02/2022,3,לא,לא,סקודה סופרב (עד 2019),בנזין,1798,לבן,"1,420,000",2015,02/2015,אוטומט,רכב אשר,
586,תל אביב יפו,פרטית,,5,10/2022,1,לא,לא,רנו קפצ'ור,בנזין,1197,בז',"56,000",2017,10/2017,אוטומט,יקיר מוטורס,
587,אודים,פרטית,פרטית,14,01/2023,2,לא,לא,אופל אסטרה,בנזין,1364,כסוף,"87,000",2012,01/2012,אוטומט,",",
588,חולון,פרטית,פרטית,6,03/2022,2,כן,לא,סקודה ראפיד,בנזין,1197,אפור מטאלי,"140,000",2017,03/2017,אוטומט,מרכז הרכב - חולון,
589,עפולה,פרטית,ליסינג,11,09/2022,5,כן,לא,סקודה אוקטביה,בנזין,1798,כסוף מטאלי,"160,000",2017,09/2017,אוטומט,אביחי ביתן רכב הצפון,
590,כפר סבא,ליסינג,,4,03/2022,1,לא,לא,לקסוס GS300H,בנזין,2494,אפור מטאלי,"76,000",2018,03/2018,אוטומט,גלי 2004 בעמ,
591,ראשון לציון,פרטית,,9,06/2022,1,כן,לא,אאודי A4,בנזין,1984,לבן,"64,000",2019,06/2019,אוטומט,WinCar,
592,נתניה,פרטית,פרטית,15,05/2022,3,כן,לא,ב.מ.וו X6,דיזל,2993,אפור מטאלי,"168,000",2014,05/2014,אוטומט,דולב,
593,חולון,פרטית,,15,01/2022,0,כן,לא,דודג' צ'לנג'ר,בנזין,3604,שחור מטאלי,,2021,01/2021,אוטומט,טרייד אין חולון,
594,הרצליה,פרטית,,1,,0,כן,לא,מרצדס EQA,חשמלי,,לבן מטאלי,,2021,,אוטומט,V12 רכבי יוקרה,
595,ראשון לציון,פרטית,פרטית,9,,2,כן,לא,מרצדס CLA,בנזין,1991,לבן,"17,900",2020,,אוטומט,יהלומים על הכביש,
596,נהריה,פרטית,פרטית,15,12/2022,2,לא,לא,מאזדה 3,בנזין,1598,אפור,"185,000",2005,,אוטומט,עופר,
597,תל אביב יפו,פרטית,פרטית,15,07/2022,2,כן,לא,ניסאן קשקאי,בנזין,1997,אפור מטאלי,"130,000",2009,07/2009,אוטומט,אריה,
598,כפר מנדא,פרטית,,15,07/2022,1,לא,לא,מרצדס C-Class,בנזין,1991,לבן מטאלי,"120,000",2016,06/2016,אוטומט,,
599,כפר ויתקין,פרטית,,3,05/2022,1,לא,לא,טויוטה אוריס הייבריד,בנזין,1798,כחול כהה מטאלי,"132,292",2016,05/2016,אוטומט,,
600,רהט,פרטית,,7,07/2022,1,לא,לא,טויוטה קורולה,בנזין,1598,לבן,"120,000",2017,07/2017,אוטומט,,
601,נס ציונה,פרטית,,2,01/2022,1,לא,לא,ב.מ.וו סדרה 5,היברידי חשמל / בנזין,1998,אפור מטאלי,"105,000",2018,01/2018,אוטומט,,
602,תל אביב יפו,פרטית,פרטית,12,12/2022,2,לא,לא,ב.מ.וו סדרה 1,בנזין,1998,אפור עכבר,"56,000",2017,06/2017,אוטומט,,
603,תל אביב יפו,פרטית,,14,,1,לא,לא,ניסאן מקסימה,בנזין,3498,לבן,"82,000",2017,,אוטומט,,
604,ירושלים,פרטית,,15,11/2022,1,לא,לא,פורד S-מקס,בנזין,1999,לבן,"100,000",2011,11/2011,אוטומט,,
605,פתח תקווה,פרטית,פרטית,15,12/2022,5,לא,לא,מאזדה 6,בנזין,1999,קרם,"239,000",2008,12/2008,אוטומט,,
606,ראשון לציון,פרטית,פרטית,8,05/2022,2,לא,לא,סיאט איביזה,בנזין,999,לבן,"94,900",2018,02/2018,אוטומט,,
607,בן שמן,פרטית,,15,07/2022,1,לא,לא,סיטרואן C5,בנזין,1598,כסוף מטאלי,"184,000",2012,07/2012,אוטומט,,
608,ראמה,פרטית,פרטית,13,08/2022,3,לא,לא,אאודי A4,בנזין,1395,אפור מטאלי,"85,000",2016,08/2016,אוטומט,,
609,בנימינה גבעת עדה,פרטית,פרטית,15,,2,כן,לא,ב.מ.וו סדרה 3,בנזין,1995,לבן,"320,000",2012,01/2012,אוטומט,,
610,קרית אתא,פרטית,פרטית,14,01/2023,4,לא,לא,סקודה ראפיד,בנזין,1390,אפור מטאלי,"114,000",2015,01/2015,אוטומט,,
611,חולון,פרטית,,15,,1,לא,לא,שברולט טראוורס,בנזין,3564,לבן,"50,000",2019,,אוטומט,אוטו טרייד,
612,גבעת שמואל,פרטית,פרטית,15,10/2022,3,כן,לא,יונדאי i30,בנזין,1591,בז' מטאלי,"160,000",2010,10/2010,אוטומט,,
613,ירושלים,פרטית,,15,01/2023,1,לא,לא,טויוטה קאמרי,בנזין,2362,ברונזה מטאלי,"210,000",2007,01/2007,אוטומט,,
614,באר שבע,פרטית,פרטית,15,10/2022,2,כן,לא,סקודה סופרב (עד 2019),בנזין,1798,אפור מטאלי,"162,000",2015,10/2015,אוטומט,,
615,כפר שמריהו,פרטית,,2,,1,לא,לא,מרצדס S-Class,בנזין,5980,שחור,"39,000",2019,,אוטומט,,
616,הרצליה,פרטית,,1,10/2022,1,לא,לא,פורד מוסטנג MACH E,חשמלי,,אפור מטאלי,"1,600",2021,10/2021,אוטומט,,
617,כפר סבא,ליסינג,,14,,1,לא,לא,קיה סורנטו,בנזין,2497,לבן פנינה,1,2021,09/2021,אוטומט,גלי ליסינג מכירת רכב,
618,ראשון לציון,פרטית,,15,09/2023,0,כן,לא,פורד מוסטנג,בנזין,2261,אפור מטאלי,,2021,09/2021,אוטומט,גאלופ מוטורס,
619,פתח תקווה,פרטית,,15,05/2022,1,לא,לא,דודג' ג'רני,בנזין,2360,לבן שנהב,"165,000",2012,05/2012,אוטומט,לוי אוטוטרייד בעמ,
620,ראשון לציון,פרטית,ליסינג,14,12/2021,2,כן,לא,אופל אסטרה,בנזין,1364,אפור מטאלי,"168,000",2014,05/2014,אוטומט,גלי 2004 בעמ,
621,הרצליה,פרטית,פרטית,14,05/2022,2,כן,לא,אלפא רומיאו ג'וליה,בנזין,1995,לבן,"106,500",2018,05/2018,אוטומט,אורכיד ספורטס קארס ישראל בעמ,
622,ירושלים,חברה,פרטית,14,03/2022,2,כן,לא,פיג'ו 5008,בנזין,1598,לבן,"44,000",2019,03/2019,אוטומט,Vettura,
623,רמת גן,פרטית,,14,02/2022,0,לא,לא,לנד רובר ריינג' רובר איווק,בנזין,1997,שחור,,2020,02/2020,אוטומט,טוני טרייד,
624,אשדוד,פרטית,פרטית,15,01/2022,4,לא,לא,ב.מ.וו סדרה 7,בנזין,2979,לבן,"168,000",2010,01/2010,אוטומט,אוריקאר תחבורה בעמ,
625,עזריה,פרטית,פרטית,15,12/2021,3,כן,לא,ב.מ.וו סדרה 5,דיזל,2993,לבן פנינה,"147,000",2011,12/2011,אוטומט,E.S motors,
626,רחובות,פרטית,ליסינג,7,05/2022,2,לא,לא,רנו מגאן גראנד קופה,דיזל,1461,לבן פנינה,"50,000",2018,05/2018,אוטומט,נאור,
627,ראשון לציון,ליסינג,,5,01/2023,1,לא,לא,מאזדה 2,בנזין,1496,כחול מטאלי,1,2021,01/2021,אוטומט,גלי 2004 בעמ,
628,ראשון לציון,פרטית,ליסינג,13,11/2022,2,כן,לא,יונדאי i25,בנזין,1368,כסף מטלי,"133,000",2015,11/2015,אוטומט,קדושים יגאל,
629,חיפה,פרטית,,4,08/2022,1,לא,לא,סוזוקי בלנו,בנזין,1242,לבן מטאלי,"51,000",2016,08/2016,אוטומט,ישראקאר,
630,ראשון לציון,פרטית,,15,,0,כן,לא,קיה קרניבל,בנזין,3470,לבן פנינה,,2021,,אוטומט,AYALONMOTORS,
631,חולון,ליסינג,,2,03/2022,1,כן,לא,יונדאי איוניק,בנזין,1580,כסף מטלי,"84,000",2019,03/2019,אוטומט,טופ טרייד אין,
632,חולון,פרטית,פרטית,15,,2,כן,לא,פורשה פאנאמרה,בנזין,2997,אפור,"1,000",2016,,אוטומט,top cars,
633,באקה אל ע'רביה,פרטית,פרטית,11,09/2022,3,כן,לא,פולקסווגן פולו,בנזין,1197,אדום,"103,000",2014,09/2014,אוטומט,רכב עירון טרייד אין בעמ,
634,קרית אתא,פרטית,פרטית,12,07/2022,3,לא,לא,מאזדה 3,בנזין,1998,שחור מטאלי,"98,000",2015,07/2015,אוטומט,AS,
635,נהריה,פרטית,,1,01/2022,1,לא,לא,ב.מ.וו סדרה 3,היברידי חשמל / בנזין,1998,לבן,"20,000",2021,01/2021,אוטומט,,
636,יבנה,פרטית,,12,06/2022,1,לא,לא,מאזדה 3,בנזין,1998,כחול בהיר מטאלי,"50,200",2018,06/2018,אוטומט,,
637,עיילבון,פרטית,פרטית,6,01/2023,2,לא,לא,פולקסווגן פולו,בנזין,1197,שחור מטאלי,"138,900",2016,01/2016,ידנית,,
638,מזכרת בתיה,ייבוא מקביל,ייבוא מקביל,15,,8,לא,לא,אם. ג'י. / MG 350,בנזין,1498,אפור,"5,645,645",2014,,אוטומט,,
639,כפר סבא,פרטית,פרטית,15,05/2022,2,לא,לא,יגואר XJ,בנזין,1999,לבן,"127,000",2014,05/2014,אוטומט,,
640,תל אביב יפו,פרטית,,13,10/2022,1,לא,לא,פולקסווגן גולף,בנזין,1390,אפור מטאלי,"80,500",2013,10/2013,אוטומט,,
641,הרצליה,פרטית,,2,02/2022,1,לא,לא,מרצדס S-Class,היברידי חשמל / בנזין,2996,לבן,"35,000",2020,02/2020,אוטומט,,
642,מודיעין מכבים רעות,פרטית,פרטית,14,09/2022,2,לא,לא,סובארו אימפרזה החדשה,בנזין,1600,שחור,"95,000",2015,09/2015,אוטומט,,
643,חיפה,פרטית,,13,01/2023,1,לא,לא,דייהטסו סיריון,בנזין,1298,אדום,"173,000",2011,01/2011,אוטומט,,
644,חדרה,פרטית,פרטית,14,06/2022,3,לא,לא,מיני קופר,בנזין,1598,קרם,"180,000",2013,06/2013,אוטומט,,
